order_id,customer_id,product_id,quantity,order_date,status
1,1593,283,2,2026-01-16,Shipped
2,2369,40,5,2025-02-11,Shipped
3,2994,205,1,2025-09-10,Pending
4,1001,384,1,2025-11-03,Pending
5,3483,277,4,2025-08-21,Completed
6,784,257,2,2025-09-21,Pending
7,4792,428,1,2025-06-17,Pending
8,2048,55,2,2025-07-13,Cancelled
9,668,110,3,2025-11-24,Cancelled
10,2326,203,4,2025-05-18,Completed
11,242,148,2,2025-04-26,Shipped
12,892,183,5,2025-09-24,Cancelled
13,2998,279,5,2025-09-02,Pending
14,222,402,2,2025-10-06,Shipped
15,322,431,5,2025-07-11,Cancelled
16,98,183,4,2025-11-02,Pending
17,1293,449,5,2025-11-24,Shipped
18,757,78,5,2025-02-23,Pending
19,3164,133,2,2025-11-05,Pending
20,1820,285,5,2025-08-15,Completed
21,4892,270,2,2025-06-10,Pending
22,2050,45,4,2026-01-31,Pending
23,4625,352,5,2025-09-23,Shipped
24,4673,62,4,2025-05-30,Shipped
25,4880,205,4,2025-05-15,Pending
26,3316,280,3,2025-09-25,Shipped
27,1096,493,4,2025-08-17,Pending
28,3480,97,3,2025-04-23,Completed
29,1146,384,2,2026-01-16,Cancelled
30,3384,214,5,2025-08-12,Completed
31,2742,16,2,2025-02-22,Completed
32,1373,408,4,2025-05-28,Shipped
33,2470,162,1,2025-12-13,Pending
34,3879,286,1,2025-12-06,Completed
35,1153,315,4,2025-02-19,Completed
36,4605,116,1,2025-12-07,Pending
37,1167,352,4,2025-11-06,Cancelled
38,1918,97,1,2025-04-14,Shipped
39,183,426,3,2025-02-17,Shipped
40,2633,294,4,2025-09-28,Cancelled
41,4599,91,2,2025-11-01,Pending
42,180,86,3,2025-12-23,Pending
43,2038,135,4,2025-04-25,Pending
44,832,280,2,2025-07-23,Shipped
45,4958,32,4,2025-03-25,Cancelled
46,1191,241,4,2026-01-15,Cancelled
47,10,146,2,2025-11-20,Completed
48,2800,275,3,2025-07-01,Completed
49,471,197,4,2025-09-18,Completed
